file,pack_id,c_rate,actual_capacity,actual_soh
pk1-62-08062021-FFCT-0.3C 202605151215 Characterisation Test (1).csv,pk1,0.3,149.57490299999998,95.88134807692306
pk4-60pc-29052021-FFCT-1.0C 202606120001 Characterisation Test.csv,pk4,1.0,138.96111,89.07763461538461
pk1-62-08062021-FFCT-1.0C 202605201620 Characterisation Test (1).csv,pk1,1.0,147.265952,94.40125128205128
pk1-62-08062021-FFCT-1.0C 202605201620 Characterisation Test.csv,pk1,1.0,147.265952,94.40125128205128
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test (1).csv,pk3,0.3,148.69444,95.31694871794872
pk1-62-08062021-FFCT-0.3C 202605151215 Characterisation Test (2).csv,pk1,0.3,149.57490299999998,95.88134807692306
pk5-213k-07112020-RLL70785-FFCT-0.3C 202607011605 Characterisation Test.csv,pk5,0.3,135.380231,86.78219935897437
pk4-60pc-29052021-FFCT-0.3C 202605130802 Characterisation Test.csv,pk4,0.3,146.057653,93.62670064102562
pk1-62-08062021-FFCT-1.0C 202605201620 Characterisation Test (2).csv,pk1,1.0,147.265952,94.40125128205128
pk4-60pc-29052021-FFCT-0.3C 202605130802 Characterisation Test (1).csv,pk4,0.3,146.057653,93.62670064102562
pk1-62-08062021-FFCT-0.3C 202605151215 Characterisation Test.csv,pk1,0.3,149.57490299999998,95.88134807692306
pk2-enyaq-23072021-FFCT-0.3C 202605141057 Characterisation Test (1).csv,pk2,0.3,148.42492299999998,95.14418141025641
pk5-213k-07112020-RLL70785-FFCT-0.3C 202607011605 Characterisation Test (1).csv,pk5,0.3,135.380231,86.78219935897437
pk2-enyaq-23072021-FFCT-0.95C 202605221145 Characterisation Test.csv,pk2,0.95,143.463246,91.96361923076924
pk2-enyaq-23072021-FFCT-0.3C 202605141057 Characterisation Test.csv,pk2,0.3,148.42492299999998,95.14418141025641
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test (2).csv,pk3,0.3,148.69444,95.31694871794872
pk2-enyaq-23072021-FFCT-0.95C 202605221145 Characterisation Test (1).csv,pk2,0.95,143.463246,91.96361923076924
pk4-60pc-29052021-FFCT-1.0C 202606120001 Characterisation Test (1).csv,pk4,1.0,138.96111,89.07763461538461
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test.csv,pk3,0.3,148.69444,95.31694871794872
pk3-enyaq-13112021-FFCT-1.0C 202607020054 Characterisation Test.csv,pk3,1.0,143.001374,91.66754743589743
