filename,mean_current_A,actual_c_rate,error
pk1-62-08062021-FFCT-0.3C 202605151215 Characterisation Test.csv,46.99,0.301,
pk1-62-08062021-FFCT-1.0C 202605201620 Characterisation Test.csv,155.04,0.994,
pk1-62-08062021-SFT-0.3C 202604281055 Characterisation Test.csv,46.97,0.301,
pk1-62-08062021-SFT-1.0C 202605201243 Characterisation Test.csv,154.63,0.991,
pk2-enyaq-23072021-FFCT-0.3C 202605141057 Characterisation Test.csv,46.98,0.301,
pk2-enyaq-23072021-FFCT-0.95C 202605221145 Characterisation Test.csv,147.27,0.944,
pk2-enyaq-23072021-SFT-0.3C 202604291559 Characterisation Test.csv,46.98,0.301,
pk3-enyaq-13112021 202606180100 SFT 1.0C Short Function Test.csv,157.95,1.012,
pk3-enyaq-13112021-FFCT-0.3C 202606130656 Characterisation Test.csv,46.99,0.301,
pk3-enyaq-13112021-FFCT-1.0C 202607020054 Characterisation Test.csv,155.19,0.995,
pk3-enyaq-13112021-SFCT-0.3C 202606121313 Characterisation Test.csv,46.97,0.301,
pk4-60pc-29052021-FFCT-0.3C 202605130802 Characterisation Test.csv,46.98,0.301,
pk4-60pc-29052021-FFCT-1.0C 202606120001 Characterisation Test.csv,155.17,0.995,
pk4-60pc-29052021-SFCT-1.0C 202606110707 Characterisation Test.csv,154.48,0.99,
pk4-60pc-29052021-SFCT-1C 202605260645 Characterisation Test.csv,144.81,0.928,
pk4-60pc-29052021-SFT-0.3C 202605121634 Characterisation Test.csv,46.97,0.301,
pk5-213k-07112020-RLL70785-FFCT-0.3C 202607011605 Characterisation Test.csv,46.98,0.301,
pk5-213k-07112020-RLL70785-FFCT-1.0C 202607061057 Characterisation Test.csv,155.15,0.995,
pk5-213k-07112020-RLL70785-SFCT-0.3C 202607010827 Characterisation Test.csv,46.97,0.301,
pk5-213k-07112020-RLL70785-SFCT-1.0C 202607060650 Characterisation Test.csv,154.16,0.988,
pk6-06022023 202606240054 SFT 1.0C Short Function Test.csv,158.49,1.016,
pk6-06022023-ROB6223W-FFCT 0.3C 202606200757 Characterisation Test.csv,46.99,0.301,
pk6-06022023-ROB6223W-FFCT-1.0C 202607010101 Characterisation Test.csv,155.16,0.995,
pk6-06022023-ROB6223W-SFT 0.3C 202606192209 Characterisation Test.csv,46.97,0.301,
